"Network","Unit_Code","lat_rank","sap_ba_pct_NatCan","sap_ba_pct_NatOth","sap_ba_pct_Exotic","sap_dens_pct_NatCan","sap_dens_pct_NatOth","sap_dens_pct_Exotic","seed_dens_pct_NatCan","seed_dens_pct_NatOth","seed_dens_pct_Exotic","sap_ba_tot","sap_dens_tot","seed_dens_tot","sap_ba_pct_NatCan_rel","sap_ba_pct_NatOth_rel","sap_ba_pct_Exotic_rel","sap_dens_pct_NatCan_rel","sap_dens_pct_NatOth_rel","sap_dens_pct_Exotic_rel","seed_dens_pct_NatCan_rel","seed_dens_pct_NatOth_rel","seed_dens_pct_Exotic_rel","sap_ba_check","sap_dens_check","seed_dens_check"
"ERMN","ALPO",29,0.239482722508904,0.391259817393941,0.0510756419153366,0.185064935064935,0.448773448773449,0.047979797979798,0.50339604844705,0.45718695550552,0.0394169960474308,0.681818181818182,0.681818181818182,1,0.351241326346392,0.573847732177781,0.074910941475827,0.271428571428572,0.658201058201058,0.0703703703703704,0.50339604844705,0.45718695550552,0.0394169960474308,1,1,1
"ERMN","BLUE",6,0.615497618938379,0.184502381061621,0,0.601325757575758,0.198674242424242,0,0.328848566510471,0.612430088000324,0.00872134548920594,0.8,0.8,0.95,0.769372023672974,0.230627976327026,0,0.751657196969697,0.248342803030303,0,0.346156385800495,0.644663250526657,0.00918036367284836,1,1,1
"ERMN","DEWA",32,0.475921022253466,0.14347232405355,0.0043690299306077,0.478245516859378,0.141454914722241,0.00406194465600407,0.656971827649645,0.270835784627392,0.00288545702989316,0.623762376237624,0.623762376237624,0.930693069306931,0.762984495993652,0.230011186181088,0.00700431782525996,0.766711066711067,0.226776926776927,0.00651200651200653,0.705895261623555,0.291004406886879,0.00310033148956606,1,1,1
"ERMN","FONE",24,0.368558146757463,0.18462980970933,0.0968120435332069,0.384128787878788,0.146174242424243,0.11969696969697,0.473576669553065,0.358078952117763,0.118344378329172,0.65,0.65,0.95,0.567012533473021,0.284045861091276,0.148941605435703,0.590967365967366,0.22488344988345,0.184149184149184,0.498501757424279,0.37692521275554,0.124573029820181,1,1,1
"ERMN","FRHI",23,0.486492146596859,0.113507853403141,0,0.458333333333333,0.141666666666667,0,0.496756352966471,0.494446486757009,0.00879716027652029,0.6,0.6,1,0.810820244328098,0.189179755671902,0,0.763888888888889,0.236111111111111,0,0.496756352966471,0.494446486757009,0.00879716027652029,1,1,1
"ERMN","GARI",9,0.584449502908321,0.260527821354717,0.0121655328798186,0.561490728770141,0.269064826785415,0.0265873015873016,0.535819861209627,0.356945347082216,0.0358062202795859,0.857142857142857,0.857142857142857,0.928571428571429,0.681857753393041,0.303949124913837,0.0141931216931217,0.655072516898497,0.313908964582984,0.0310185185185185,0.577036773610367,0.384402681473156,0.0385605449164771,1,1,1
"ERMN","JOFL",28,0.567686668656914,0.183446257727321,0.0822004069490976,0.555555555555555,0.166666666666667,0.111111111111111,0.42413988965089,0.481454799391131,0.0944053109579785,0.833333333333333,0.833333333333333,1,0.681224002388297,0.220135509272786,0.0986404883389172,0.666666666666667,0.2,0.133333333333333,0.42413988965089,0.481454799391131,0.0944053109579785,1,1,1
"ERMN","NERI",7,0.687598348687574,0.189651226589946,0.0149072874675785,0.654685184096949,0.221948802831156,0.0155228758169935,0.551828914366512,0.421790449544963,0.0165767145198979,0.892156862745098,0.892156862745098,0.990196078431372,0.770714632594863,0.212576100133786,0.0167092672713517,0.733822953603174,0.248777778997559,0.0173992673992674,0.557292566984002,0.425966592609764,0.0167408404062336,1,1,1
"MIDN","APCO",4,0.645540921886495,0.31874479239922,0,0.610994922417637,0.353290791868077,0,0.530306064671807,0.398265363899622,0,0.964285714285714,0.964285714285714,0.928571428571429,0.669449844919328,0.330550155080672,0,0.633624363988661,0.366375636011339,0,0.57109883887733,0.42890116112267,0,1,1,1
"MIDN","BOWA",1,0.460754004102183,0.539245995897817,0,0.466788419913421,0.53321158008658,0,0.503676802234778,0.483198998021304,0.0131241997439181,1,1,1,0.460754004102183,0.539245995897817,0,0.466788419913421,0.53321158008658,0,0.503676802234778,0.483198998021304,0.0131241997439181,1,1,1
"MIDN","FRSP",10,0.589783639467473,0.400600975917142,0,0.581446445364194,0.408938170020422,0,0.539525585078737,0.366621546478231,0.00731440690457084,0.990384615384615,0.990384615384615,0.913461538461538,0.595509694219585,0.404490305780415,0,0.587091556484234,0.412908443515766,0,0.590638535244091,0.401354114039326,0.00800735071658282,1,1,1
"MIDN","GETT",25,0.466692197023636,0.447402938388732,0.0252988039815723,0.382562079284309,0.543032669755416,0.0137991903542143,0.322491250927473,0.617277704634227,0.029928014135269,0.939393939393939,0.939393939393939,0.96969696969697,0.49680137102516,0.47626764409123,0.0269309848836093,0.407243503754265,0.578067035546088,0.0146894606996475,0.332569102518957,0.636567632904047,0.0308632645769962,1,1,1
"MIDN","HOFU",27,0.43411899899672,0.19088100100328,0,0.425,0.2,0,0.538883745892984,0.267677483781813,0.00593877032520326,0.625,0.625,0.8125,0.694590398394752,0.305409601605248,0,0.68,0.32,0,0.66324153340675,0.329449210808385,0.00730925578486554,1,1,1
"MIDN","PETE",2,0.796443071622157,0.165095389916304,0,0.766718432990621,0.19482002854784,0,0.778726708074534,0.112756808408982,0.0123626373626374,0.961538461538461,0.961538461538461,0.903846153846154,0.828300794487044,0.171699205512956,0,0.797387170310246,0.202612829689754,0,0.861569974890974,0.124752213558874,0.013677811550152,1,1,1
