"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI","stock_final"
"ALPO-062","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,57.5
"ALPO-065","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"ALPO-065","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,0.25
"ALPO-065","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0.75
"ALPO-069","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,137
"ALPO-069","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,91.5
"ALPO-069","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,49
"ALPO-072","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,17.25
"ALPO-072","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,4.75
"ALPO-072","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,4.25
"ALPO-077","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,34.75
"ALPO-077","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,35
"ALPO-077","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,19.75
"BLUE-001","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,14.25
"BLUE-001","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,18.75
"BLUE-001","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,32.75
"BLUE-003","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,0.25
"BLUE-003","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,25.75
"BLUE-003","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,12.75
"BLUE-004","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,4.75
"BLUE-004","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,9.5
"BLUE-004","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,10.25
"BLUE-011","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,16.75
"BLUE-011","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,2.25
"BLUE-011","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,7.5
"BLUE-013","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,13.75
"BLUE-013","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,3.5
"BLUE-013","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,5.25
"BLUE-016","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,40.75
"BLUE-016","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,37.25
"BLUE-016","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,62
"BLUE-019","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,17.75
"BLUE-019","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,38.25
"BLUE-019","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,31.25
"BLUE-027","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,18.25
"BLUE-027","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,22.5
"BLUE-027","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,18.25
"BLUE-030","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,0.75
"BLUE-030","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,1.25
"BLUE-030","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0.25
"BLUE-034","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,47.5
"BLUE-034","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,24.75
"BLUE-034","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,50.75
"BLUE-038","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,0.5
"BLUE-038","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,1.75
"BLUE-038","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,0
"BLUE-040","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,60.75
"BLUE-040","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,32.25
"BLUE-040","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,63
"BLUE-041","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,20
"BLUE-041","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,41
"BLUE-041","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,103.5
"BLUE-043","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,6.5
"BLUE-043","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,5.75
"BLUE-043","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,10.75
"BLUE-044","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.25
"BLUE-044","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"BLUE-044","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"BLUE-047","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,0.5
"BLUE-047","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,1
"BLUE-047","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0.25
"BLUE-049","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,52.5
"BLUE-049","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,37.75
"BLUE-049","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,34.5
"BLUE-061","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,1.25
"BLUE-061","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,2
"BLUE-061","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,3.75
"BLUE-063","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,40.5
"BLUE-063","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,51.5
"BLUE-063","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,27.25
"BLUE-071","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,17
"BLUE-071","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,29.25
"BLUE-071","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,14.25
"BLUE-072","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.5
"BLUE-072","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,1
"BLUE-072","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,4.5
"BLUE-074","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,2.75
"BLUE-074","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,45.5
"BLUE-074","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,151.5
"BLUE-079","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,32.75
"BLUE-083","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,26.25
"BLUE-083","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,25.5
"BLUE-083","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,0
"BLUE-088","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,27
"BLUE-088","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,28
"BLUE-089","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,8.25
"BLUE-089","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,3.25
"BLUE-089","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,1.75
"BLUE-095","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,13
"BLUE-095","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,1.5
"BLUE-095","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,4.25
"BLUE-099","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,12.5
"BLUE-099","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,13.75
"BLUE-099","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,13.25
"BLUE-104","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,16
"BLUE-104","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,16.5
"BLUE-104","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,3.5
"BLUE-109","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,36
"BLUE-109","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,19
"BLUE-109","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,22.25
"BLUE-110","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,13
"BLUE-110","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,2.25
"BLUE-110","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,16.25
"BLUE-115","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,0.75
"BLUE-115","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,2
"BLUE-115","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,3
"BLUE-120","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,0.25
"BLUE-120","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,0.75
"BLUE-120","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,1.5
"BLUE-126","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.75
"BLUE-126","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,7
"BLUE-126","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,22.25
"BLUE-134","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,0.5
"BLUE-134","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,1.25
"BLUE-134","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,2.25
"BLUE-136","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,15.5
"BLUE-136","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,17.5
"BLUE-136","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,7.5
"BLUE-137","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,13
"BLUE-137","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,5.5
"BLUE-137","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,1.75
"BLUE-141","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,13.75
"BLUE-141","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,13.75
"BLUE-141","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,7.25
"BLUE-142","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,14
"BLUE-142","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,14.5
"BLUE-142","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,9.5
"BLUE-147","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,18.75
"BLUE-147","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,28.5
"BLUE-147","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,45
"BLUE-154","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,47.25
"BLUE-154","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,80.25
"BLUE-154","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,11
"DEWA-001","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,1.25
"DEWA-001","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,1.5
"DEWA-001","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,0
"DEWA-004","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,0.75
"DEWA-004","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,3.5
"DEWA-004","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,49.5
"DEWA-006","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,1.25
