"mg_short","lat_rank","sap_ba_tot","sap_dens_tot","seed_dens_tot","sap_ba_pct_FRAX","sap_ba_pct_FAGGRA","sap_ba_pct_ASITRI","sap_dens_pct_FRAX","sap_dens_pct_FAGGRA","sap_dens_pct_ASITRI","seed_dens_pct_FRAX","seed_dens_pct_FAGGRA","seed_dens_pct_ASITRI","sap_ba_check","sap_dens_check","seed_dens_check"
"Acadian Mixed",8,588.427326968974,36.6215857862636,108.353221957041,0.000787535797465789,0.0423634375112172,0,0.00144822592324402,0.054308472121651,0,0.0988742046010768,0.0345080763582966,0,0.043150973308683,0.055756698044895,0.133382280959373
"Appalachian Mesic",7,179.501885656463,13.1992149234889,168.353951206576,0.00197731928856146,0.0809480268758901,0.0310868000447019,0.00720035689976905,0.0963851461613642,0.0927219843541878,0.265855887748966,0.0414203699933568,0.0820949094902796,0.114012146209153,0.196307487415321,0.389371167232603
"Coastal Plain",3,222.09704296665,14.667237365342,88.0920180323522,0.00483648636338214,0.246437664014671,0.0132953191966883,0.00643123832035702,0.285163639712513,0.0353718107619635,0.0681580096027936,0.0847122924788151,0.0908141302548202,0.264569469574741,0.326966688794833,0.243684432336429
"Floodplain",4,58.0843850083912,5.63712681920756,36.7011402810925,0.0383260236907792,0.0365742257201768,0.431183791983139,0.0214376344220217,0.0352814906336191,0.446031924320141,0.299911488439307,0.00325144508670521,0.166452312138728,0.506084041394095,0.502751049375782,0.46961524566474
"Northern Oak - Pine",6,570.089123527489,36.2775836520532,436.387828162291,0.0220840427464653,0.0589120240529036,0.0193013684025823,0.0431445894372448,0.0603396054611941,0.0505549024131563,0.154673151766342,0.0138675823102378,0.0268549484585887,0.100297435201951,0.154039097311595,0.195395682535168
"Northern Ruderal",5,474.675593885537,28.5068819187482,252.196632193052,0.0219728885770354,0.165497097846725,0.0717001375156742,0.0214551813674818,0.14481412447049,0.134915422278213,0.223901418824889,0.0198000385895975,0.11333433575158,0.259170123939435,0.301184728116184,0.357035793166066
"Southern Oak - Pine",2,112.169027237354,6.24926305860158,85,0.0214482094038517,0.117790759797126,0.00831688646145983,0.0188679245283019,0.124528301886792,0.0452830188679245,0.0323529411764706,0.0107843137254902,0.0362745098039216,0.147555855662437,0.188679245283019,0.0794117647058823
"Southern Ruderal",1,186.884503006721,9.89270133239005,65.4166666666667,0,0.0109815313748995,0.0951594924531795,0,0.0166865315852205,0.199046483909416,0.00636942675159235,0.021656050955414,0.36687898089172,0.106141023828079,0.215733015494636,0.394904458598726
