"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI"
"ALPO-069","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"ALPO-069","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-069","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"ALPO-072","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"ALPO-072","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"ALPO-072","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-077","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-077","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-077","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-001","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-001","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-001","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-003","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-003","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"BLUE-003","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-004","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-004","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-004","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-011","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-011","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-011","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-013","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-013","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-013","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-016","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-016","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-016","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-019","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-019","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-019","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-027","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-027","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-027","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-030","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-030","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"BLUE-030","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-034","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-034","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-034","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-038","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-038","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-038","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-040","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-040","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-040","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-041","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-041","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-041","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-043","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-043","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-043","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-044","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-044","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-044","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-047","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-047","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-047","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-049","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-049","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-049","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-061","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-061","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-061","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-063","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-063","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-063","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-071","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-071","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-071","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-072","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-072","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-072","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-074","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-074","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-074","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-079","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-083","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-083","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-083","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-088","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-088","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-089","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-089","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-089","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-095","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-095","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-095","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"BLUE-099","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-099","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-099","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-104","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-104","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-104","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-109","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-109","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-109","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-110","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-110","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-110","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-115","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-115","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-115","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-120","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
