"mg_short","lat_rank","sap_ba_pct_NatCan","sap_ba_pct_NatOth","sap_ba_pct_Exotic","sap_dens_pct_NatCan","sap_dens_pct_NatOth","sap_dens_pct_Exotic","seed_dens_pct_NatCan","seed_dens_pct_NatOth","seed_dens_pct_Exotic","sap_ba_tot","sap_dens_tot","seed_dens_tot","sap_ba_pct_NatCan_rel","sap_ba_pct_NatOth_rel","sap_ba_pct_Exotic_rel","sap_dens_pct_NatCan_rel","sap_dens_pct_NatOth_rel","sap_dens_pct_Exotic_rel","seed_dens_pct_NatCan_rel","seed_dens_pct_NatOth_rel","seed_dens_pct_Exotic_rel","sap_ba_check","sap_dens_check","seed_dens_check"
"Acadian Mixed",8,0.802619439168087,0.0709821441653128,0.0051862954544793,0.801682368892514,0.0707923785822337,0.00631313131313131,0.74390712034754,0.16944486787748,0.00583993096689936,0.878787878787879,0.878787878787879,0.919191919191919,0.913325568708512,0.0807727847398387,0.00590164655164886,0.912259247360447,0.0805568445935762,0.00718390804597701,0.809305548509961,0.184341119998577,0.00635333149146194,1,1,1
"Appalachian Mesic",7,0.529239317720139,0.187345725969329,0.0152585317295264,0.502756673911076,0.207438856815181,0.0216480446927374,0.469100092865832,0.437385191823133,0.0432353857020964,0.731843575418994,0.731843575418994,0.949720670391061,0.723159067724465,0.255991488156564,0.0208494441189712,0.686972859771623,0.283446987556622,0.0295801526717557,0.493934803664611,0.460540878449064,0.045524317886325,1,1,1
"Coastal Plain",3,0.628753208856184,0.246242481712239,0.0130640109241137,0.622860937387975,0.252139062612025,0.0130597014925373,0.462265128962713,0.334142107725466,0.0244882856998805,0.888059701492537,0.888059701492537,0.82089552238806,0.708007815014527,0.277281449995295,0.0147107349901784,0.701372820252005,0.283921297395054,0.0147058823529412,0.563122975281851,0.407045840320113,0.0298311843980363,1,1,1
"Floodplain",4,0.315699348344009,0.39016174912095,0.0395934479895864,0.284201601493394,0.419616580324788,0.0416363636363636,0.277544981696713,0.476796922888858,0.0456580954144286,0.745454545454545,0.745454545454546,0.8,0.423499125827329,0.523387712235421,0.05311316193725,0.381246050783821,0.562900290679593,0.0558536585365854,0.346931227120892,0.595996153611072,0.0570726192680358,1,1,1
"Northern Oak - Pine",6,0.639166781310952,0.200450414123827,0.0139039313257841,0.620833001263566,0.217280096000755,0.015408029496243,0.549141728260364,0.353645075867276,0.0183399564357398,0.853521126760563,0.853521126760563,0.92112676056338,0.748858770182799,0.234851145260589,0.0162900845566117,0.727378598840151,0.254569089373821,0.0180523117860273,0.596163038325472,0.383926611415545,0.0199103502589836,1,1,1
"Northern Ruderal",5,0.497671858560072,0.296136684554022,0.0361914568859064,0.463180054254248,0.332363425414232,0.0344565203315203,0.424036380807226,0.414067516967309,0.0385627688921322,0.83,0.83,0.876666666666667,0.599604648867556,0.356791186209665,0.0436041649227789,0.558048258137648,0.400437861944858,0.0415138799174944,0.483691689133718,0.472320361559668,0.0439879493066146,1,1,1
"Southern Oak - Pine",2,0.643667303856903,0.356332696143097,0,0.640867455398783,0.359132544601217,0,0.548270067735624,0.296314682142958,0.000242836328314716,1,1,0.844827586206897,0.643667303856903,0.356332696143097,0,0.640867455398783,0.359132544601217,0,0.648972733238085,0.350739827842685,0.000287438919229664,1,1,1
"Southern Ruderal",1,0.560288402810795,0.386770345262263,0.00416076412206479,0.545815945908294,0.400400439332481,0.00500312695434646,0.557769907492308,0.333434162827616,0.0112349540703199,0.951219512195122,0.951219512195122,0.902439024390244,0.589021141416476,0.406604721942379,0.00437413664114503,0.573806507236925,0.420933795195686,0.00525969756738987,0.618069356950936,0.36948109934952,0.0124495436995437,1,1,1
