"Plot_Name","Network","Unit_Code","cycle","excludeEvent","SapPlotNum","SeedPlotNum","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"ALPO-072","ERMN","ALPO",1,0,4,4,0.333333333333333,0.699604743083004,0.631578947368421,0.665861102601631
"ALPO-072","ERMN","ALPO",2,0,4,4,0.363636363636364,0.735844287158746,0.352941176470588,0.788733919782428
"ALPO-072","ERMN","ALPO",3,0,4,4,0.363636363636364,0.67065868263473,0.5,0.867742066555605
"ALPO-077","ERMN","ALPO",1,0,4,4,0.285714285714286,0.795730585204269,0.461538461538462,0.362386837922801
"ALPO-077","ERMN","ALPO",2,0,4,4,0,1,0.307692307692308,0.294676968781901
"ALPO-077","ERMN","ALPO",3,0,4,4,0.285714285714286,0.836500220945647,0.375,0.314639096697612
"BLUE-001","ERMN","BLUE",1,0,4,4,0.153846153846154,0.61252446183953,0.4,0.764878127876311
"BLUE-001","ERMN","BLUE",2,0,4,4,0.153846153846154,0.589698046181172,0.461538461538462,0.819459928821825
"BLUE-001","ERMN","BLUE",3,0,4,4,0.142857142857143,0.581438515081206,0.482758620689655,0.926332646486541
"BLUE-003","ERMN","BLUE",1,0,4,4,0.4,0.36986301369863,0.181818181818182,0.848471908741536
"BLUE-003","ERMN","BLUE",2,0,4,4,0.4,0.196382108784537,0.166666666666667,0.983915771479632
"BLUE-003","ERMN","BLUE",3,0,4,4,0.4,0.335970613167561,0,1
"BLUE-004","ERMN","BLUE",1,0,4,4,0.222222222222222,0.260869565217391,0.333333333333333,0.892228884564984
"BLUE-004","ERMN","BLUE",2,0,4,4,0.222222222222222,0.20515574650913,0.363636363636364,0.944770799346608
"BLUE-004","ERMN","BLUE",3,0,4,4,0.333333333333333,0.152941176470588,0,1
"BLUE-011","ERMN","BLUE",1,0,4,4,0.2,0.95578231292517,0.421052631578947,0.892980070051645
"BLUE-011","ERMN","BLUE",2,0,4,4,0.25,0.94279176201373,0.235294117647059,0.939563511443963
"BLUE-011","ERMN","BLUE",3,0,4,4,0.285714285714286,0.930921052631579,0.380952380952381,0.994759059895873
"BLUE-013","ERMN","BLUE",1,0,4,4,0.133333333333333,0.925386391899094,0.352941176470588,0.73077895345058
"BLUE-013","ERMN","BLUE",2,0,4,4,0.153846153846154,0.894736842105263,0.315789473684211,0.686274509803921
"BLUE-013","ERMN","BLUE",3,0,4,4,0.166666666666667,0.814266487213997,0.363636363636364,0.973932645734455
"BLUE-016","ERMN","BLUE",1,0,4,4,0.25,0.374850299401198,0.444444444444444,0.605800387309043
"BLUE-016","ERMN","BLUE",2,0,4,4,0.25,0.402714932126697,0.3,0.642163742335381
"BLUE-016","ERMN","BLUE",3,0,4,4,0.333333333333333,0.380952380952381,0.272727272727273,0.685248768747639
"BLUE-019","ERMN","BLUE",1,0,4,4,0.153846153846154,0.743083003952569,0.416666666666667,0.83632844971185
"BLUE-019","ERMN","BLUE",2,0,4,4,0.153846153846154,0.9245567710298,0.296296296296296,0.818316598869363
"BLUE-019","ERMN","BLUE",3,0,4,4,0.166666666666667,0.93342981186686,0.266666666666667,0.98754034715482
"BLUE-027","ERMN","BLUE",1,0,4,4,0.25,0.785846153846154,0.2,0.772464888978558
"BLUE-027","ERMN","BLUE",2,0,4,4,0,1,0.4,0.801104601636958
"BLUE-027","ERMN","BLUE",3,0,4,4,0,1,0.5,0.692072282714951
"BLUE-030","ERMN","BLUE",1,0,4,4,0,1,0.117647058823529,0.980316210553051
"BLUE-030","ERMN","BLUE",2,0,4,4,0,1,0.222222222222222,0.808342728297632
"BLUE-030","ERMN","BLUE",3,0,4,4,0,0,0.153846153846154,0.988188976377953
"BLUE-034","ERMN","BLUE",1,0,4,4,0.222222222222222,0.866840731070496,0.428571428571429,0.771968077515416
"BLUE-034","ERMN","BLUE",2,0,4,4,0.222222222222222,0.862825788751715,0.571428571428571,0.766039246047747
"BLUE-034","ERMN","BLUE",3,0,4,4,0.222222222222222,0.860299358517463,0.533333333333333,0.757181241010286
"BLUE-038","ERMN","BLUE",1,0,4,4,0,0,0.333333333333333,0.875
"BLUE-038","ERMN","BLUE",2,0,4,4,0,0,0.333333333333333,0.625
"BLUE-038","ERMN","BLUE",3,0,4,4,0,0,0,0
"BLUE-040","ERMN","BLUE",1,0,4,4,0.4,0.837766909221043,0.307692307692308,0.62186395378912
"BLUE-040","ERMN","BLUE",2,0,4,4,0.285714285714286,0.709379128137384,0.451612903225806,0.732433425774333
"BLUE-040","ERMN","BLUE",3,0,4,4,0.428571428571429,0.716430358632194,0.37037037037037,0.833483210141908
"BLUE-041","ERMN","BLUE",1,0,4,4,0.4,0.510414462929128,0.4,0.538876231801933
"BLUE-041","ERMN","BLUE",2,0,4,4,0.222222222222222,0.706332211685531,0.25,0.811958850130907
"BLUE-041","ERMN","BLUE",3,0,4,4,0.4,0.570279424216765,0.296296296296296,0.8282501398187
"BLUE-043","ERMN","BLUE",1,0,4,4,0,1,0.428571428571429,0.825168287210172
"BLUE-043","ERMN","BLUE",2,0,4,4,0,1,0.235294117647059,0.919530471009843
"BLUE-043","ERMN","BLUE",3,0,4,4,0,1,0.352941176470588,0.856774655660322
"BLUE-044","ERMN","BLUE",1,0,4,4,0,0,0.8,0.0701678863538527
"BLUE-044","ERMN","BLUE",2,0,4,4,0,0,0,0
"BLUE-044","ERMN","BLUE",3,0,4,4,0,0,0,0
"BLUE-047","ERMN","BLUE",1,0,4,4,0,0,0,1
"BLUE-047","ERMN","BLUE",2,0,4,4,0,0,0.181818181818182,0.928802588996764
"BLUE-047","ERMN","BLUE",3,0,4,4,0,0,0.2,0.890995798796412
"BLUE-049","ERMN","BLUE",1,0,4,4,0.4,0.626129522115758,0.5,0.979714247203127
"BLUE-049","ERMN","BLUE",2,0,4,4,0.6,0.781363417727054,0.461538461538462,0.897230805864176
"BLUE-049","ERMN","BLUE",3,0,4,4,0.727272727272727,0.7843762495002,0.470588235294118,0.913163241090629
"BLUE-061","ERMN","BLUE",1,0,4,4,0,1,0.380952380952381,0.929543213933618
"BLUE-061","ERMN","BLUE",2,0,4,4,0,1,0.111111111111111,0.998767917646901
"BLUE-061","ERMN","BLUE",3,0,4,4,0.142857142857143,0.926182753606979,0.56,0.93114743529185
"BLUE-063","ERMN","BLUE",1,0,4,4,0.181818181818182,0.966596560682915,0.133333333333333,0.891213135612475
"BLUE-063","ERMN","BLUE",2,0,4,4,0.181818181818182,0.935635472006539,0.133333333333333,0.941256500565819
"BLUE-063","ERMN","BLUE",3,0,4,4,0.181818181818182,0.955228653661657,0.111111111111111,0.947368421052632
"BLUE-071","ERMN","BLUE",1,0,4,4,0,1,0.454545454545455,0.835023730576686
"BLUE-071","ERMN","BLUE",2,0,4,4,0,1,0.476190476190476,0.810092178592996
"BLUE-071","ERMN","BLUE",3,0,4,4,0,1,0.476190476190476,0.756117653333966
"BLUE-072","ERMN","BLUE",1,0,4,4,0,0,0.2,0.255563047875927
"BLUE-072","ERMN","BLUE",2,0,4,4,0.2,0.769607843137255,0.2,0.242997198879552
"BLUE-072","ERMN","BLUE",3,0,4,4,0,0,0.181818181818182,0.620452556569571
"BLUE-074","ERMN","BLUE",1,0,4,4,0,0,0.4,0.878787878787879
"BLUE-074","ERMN","BLUE",2,0,4,4,0,0,0.285714285714286,0.874488403819918
"BLUE-074","ERMN","BLUE",3,0,4,4,0.4,0.859154929577465,0.285714285714286,0.854437999343329
"BLUE-079","ERMN","BLUE",3,0,4,4,0.153846153846154,0.625,0.272727272727273,0.874326569659131
"BLUE-083","ERMN","BLUE",1,0,4,4,0.375,0.516104868913858,0.235294117647059,0.760972882303606
"BLUE-083","ERMN","BLUE",2,0,4,4,0.266666666666667,0.498138701227078,0.25,0.679367062252759
"BLUE-083","ERMN","BLUE",3,0,4,4,0.266666666666667,0.446601941747573,0,1
"BLUE-088","ERMN","BLUE",1,0,4,4,0,1,0.48,0.258891603346624
"BLUE-088","ERMN","BLUE",2,0,4,4,0,1,0.571428571428571,0.223406054456283
"BLUE-089","ERMN","BLUE",1,0,4,4,0.307692307692308,0.877524598653547,0.125,0.90726096333573
"BLUE-089","ERMN","BLUE",2,0,4,4,0.307692307692308,0.809976247030879,0.105263157894737,0.974589851612629
"BLUE-089","ERMN","BLUE",3,0,4,4,0.307692307692308,0.797290088552224,0.117647058823529,0.975897754350495
"BLUE-095","ERMN","BLUE",1,0,4,4,0.444444444444444,0.422382671480144,0.222222222222222,0.325337331334333
"BLUE-095","ERMN","BLUE",2,0,4,4,0.285714285714286,0.307692307692308,0.363636363636364,0.894444444444444
"BLUE-095","ERMN","BLUE",3,0,4,4,0.333333333333333,0.296187683284457,0.545454545454545,0.948014834925768
"BLUE-099","ERMN","BLUE",1,0,4,4,0.166666666666667,0.626297577854671,0,1
"BLUE-099","ERMN","BLUE",2,0,4,4,0.166666666666667,0.735817104149026,0.25,0.988473252033565
"BLUE-099","ERMN","BLUE",3,0,4,4,0.153846153846154,0.60013600816049,0.125,0.997996192766256
"BLUE-104","ERMN","BLUE",1,0,4,4,0.166666666666667,0.412244897959184,0.375,0.894803910798638
"BLUE-104","ERMN","BLUE",2,0,4,4,0.166666666666667,0.357080035180299,0.266666666666667,0.9449423815621
"BLUE-104","ERMN","BLUE",3,0,4,4,0,0,0.266666666666667,0.964292235590091
"BLUE-109","ERMN","BLUE",1,0,4,4,0.545454545454545,0.798994974874372,0.625,0.849657216701833
"BLUE-109","ERMN","BLUE",2,0,4,4,0.4,0.924960917144346,0.111111111111111,0.953408110440034
"BLUE-109","ERMN","BLUE",3,0,4,4,0.6,0.66951566951567,0.285714285714286,0.956024941038787
"BLUE-110","ERMN","BLUE",1,0,4,4,0.166666666666667,0.429145728643216,0.307692307692308,0.656031005655828
"BLUE-110","ERMN","BLUE",2,0,4,4,0.307692307692308,0.247236357255659,0.470588235294118,0.731980434167441
"BLUE-110","ERMN","BLUE",3,0,4,4,0.285714285714286,0.344610483198058,0.631578947368421,0.784511784511785
"BLUE-115","ERMN","BLUE",1,0,4,4,0,0,0.117647058823529,0.967076382791923
"BLUE-115","ERMN","BLUE",2,0,4,4,0,0,0.105263157894737,0.923996534796419
"BLUE-115","ERMN","BLUE",3,0,4,4,0,0,0.2,0.962882363009512
"BLUE-120","ERMN","BLUE",1,0,4,4,0,1,0,1
"BLUE-120","ERMN","BLUE",2,0,4,4,0,0,0,1
"BLUE-120","ERMN","BLUE",3,0,4,4,0,1,0.222222222222222,0.956604071327126
"BLUE-126","ERMN","BLUE",1,0,4,4,0,0,0,1
"BLUE-126","ERMN","BLUE",2,0,4,4,0,0,0.142857142857143,0.898234321997043
"BLUE-126","ERMN","BLUE",3,0,4,4,0,1,0.266666666666667,0.683514818900146
"BLUE-134","ERMN","BLUE",1,0,4,4,0.142857142857143,0.929292929292929,0.285714285714286,0.893939393939394
"BLUE-134","ERMN","BLUE",2,0,4,4,0.142857142857143,0.911111111111111,0.5,0.873702611165738
