"term","estimate","lower95","upper95","num_boots","park","resp"
"Intercept",0.62408584004286,0.429118644869836,0.81514967704216,999,"ALPO","Hor_sap"
"Slope",-0.0156932005385454,-0.0900950542641167,0.0484649764909101,999,"ALPO","Hor_sap"
"c1_response",0.608392639504315,0.437774531587165,0.756320784605541,999,"ALPO","Hor_sap"
"c2_response",0.592699438965769,0.438841850165878,0.741313485490691,999,"ALPO","Hor_sap"
"c3_response",0.577006238427224,0.405273867826499,0.74161025878868,999,"ALPO","Hor_sap"
"Intercept",0.588133626615625,0.458432096207915,0.709763812135792,1000,"ALPO","Hor_seed"
"Slope",0.0664857479009412,0.0132699557469557,0.123697334230906,1000,"ALPO","Hor_seed"
"c1_response",0.654619374516566,0.563896547334104,0.740605873585284,1000,"ALPO","Hor_seed"
"c2_response",0.721105122417507,0.635717888170331,0.790173770649527,1000,"ALPO","Hor_seed"
"c3_response",0.787590870318448,0.689793702295945,0.878784089725073,1000,"ALPO","Hor_seed"
"Intercept",0.0653278742417896,-0.00108973614800981,0.155812452704787,994,"ALPO","Sap_BA_Exotic"
"Slope",-0.0152734700707614,-0.0428960312514332,0.00379870625134032,994,"ALPO","Sap_BA_Exotic"
"c1_response",0.0500544041710282,-0.000272434037002452,0.113574819648691,994,"ALPO","Sap_BA_Exotic"
"c2_response",0.0347809341002668,0.00108268781598474,0.0761779209460398,994,"ALPO","Sap_BA_Exotic"
"c3_response",0.0195074640295053,0.0013113659013522,0.0485165370339466,994,"ALPO","Sap_BA_Exotic"
"Intercept",0.448290207240196,0.150925150487965,0.819515726106228,1000,"ALPO","Sap_BA_NatCan"
"Slope",-0.0442277364762878,-0.103453817742265,0.00382896898616926,1000,"ALPO","Sap_BA_NatCan"
"c1_response",0.404062470763908,0.141119192663284,0.730960251276711,1000,"ALPO","Sap_BA_NatCan"
"c2_response",0.35983473428762,0.122129903636622,0.643662897122569,1000,"ALPO","Sap_BA_NatCan"
"c3_response",0.315606997811333,0.0971864697786608,0.582380325741046,1000,"ALPO","Sap_BA_NatCan"
"Intercept",0.407131063348798,0.220015054425309,0.63093673925812,1000,"ALPO","Sap_BA_NatOth"
"Slope",0.0149131446622239,-0.05417632918438,0.085359243749743,1000,"ALPO","Sap_BA_NatOth"
"c1_response",0.422044208011022,0.231746176391957,0.645898566253683,1000,"ALPO","Sap_BA_NatOth"
"c2_response",0.436957352673246,0.225156096683173,0.680488508378965,1000,"ALPO","Sap_BA_NatOth"
"c3_response",0.45187049733547,0.190959522070514,0.732284815859062,1000,"ALPO","Sap_BA_NatOth"
"Intercept",0.921601021931269,0.546883720035316,1.4097234366471,1000,"ALPO","Sap_BA_Total"
"Slope",-0.045226969710189,-0.146992562307548,0.0522619186598756,1000,"ALPO","Sap_BA_Total"
"c1_response",0.87637405222108,0.531236696318659,1.29296180302913,1000,"ALPO","Sap_BA_Total"
"c2_response",0.831147082510891,0.506987263926872,1.21252519253238,1000,"ALPO","Sap_BA_Total"
"c3_response",0.785920112800702,0.456128646481566,1.17002253841664,1000,"ALPO","Sap_BA_Total"
"Intercept",0.00329733023930328,-0.000641520413794435,0.00849717792413884,960,"ALPO","Sap_Dens_Exotic"
"Slope",-0.000401266043306674,-0.00181013907543909,0.000932494434725795,960,"ALPO","Sap_Dens_Exotic"
"c1_response",0.0028960641959966,-0.000148415912781105,0.00676910808666038,960,"ALPO","Sap_Dens_Exotic"
"c2_response",0.00249479815268993,0.000535746263652831,0.005211802084283,960,"ALPO","Sap_Dens_Exotic"
"c3_response",0.00209353210938326,0.000395722857452117,0.00457186056000912,960,"ALPO","Sap_Dens_Exotic"
"Intercept",0.0238795633798657,0.0107048168304933,0.0383119108807027,1000,"ALPO","Sap_Dens_NatCan"
"Slope",-0.00257885842723557,-0.00604903931911771,0.000272510568911474,1000,"ALPO","Sap_Dens_NatCan"
"c1_response",0.0213007049526302,0.00998741640475435,0.0344439297827082,1000,"ALPO","Sap_Dens_NatCan"
"c2_response",0.0187218465253946,0.00799207921865609,0.0317915616521829,1000,"ALPO","Sap_Dens_NatCan"
"c3_response",0.016142988098159,0.00593113558450054,0.0295341824411794,1000,"ALPO","Sap_Dens_NatCan"
"Intercept",0.0911788768931597,0.0475663127394226,0.136862261251398,1000,"ALPO","Sap_Dens_NatOth"
"Slope",-0.00664655491197995,-0.0156228717166986,0.00188784404097158,1000,"ALPO","Sap_Dens_NatOth"
"c1_response",0.0845323219811797,0.0433490353773818,0.129930094925485,1000,"ALPO","Sap_Dens_NatOth"
"c2_response",0.0778857670691998,0.0383772805673948,0.123562777025985,1000,"ALPO","Sap_Dens_NatOth"
"c3_response",0.0712392121572198,0.0308579425331637,0.120170534130288,1000,"ALPO","Sap_Dens_NatOth"
"Intercept",0.118271669360475,0.0740257799979057,0.167605951632615,1000,"ALPO","Sap_Dens_Total"
"Slope",-0.00956360351863135,-0.0187099495786579,-0.000553293927651613,1000,"ALPO","Sap_Dens_Total"
"c1_response",0.108708065841844,0.0650515916400409,0.158463689164539,1000,"ALPO","Sap_Dens_Total"
"c2_response",0.0991444623232122,0.0546472903407357,0.154322835017315,1000,"ALPO","Sap_Dens_Total"
"c3_response",0.0895808588045808,0.0442458976956622,0.153766774781098,1000,"ALPO","Sap_Dens_Total"
"Intercept",0.027713258578016,0.00830632555593596,0.0506880292386424,1000,"ALPO","Seed_Dens_Exotic"
"Slope",-0.00276087869882613,-0.00913375879447432,0.00305692455519282,1000,"ALPO","Seed_Dens_Exotic"
