"term","estimate","lower95","upper95","num_boots","park","resp"
"Slope",-0.000408162053693347,NA,NA,NA,"ALPO","Sap_Dens_FRAX"
"c1_response",0.000964746672366094,NA,NA,NA,"ALPO","Sap_Dens_FRAX"
"c2_response",0.000556584618672747,NA,NA,NA,"ALPO","Sap_Dens_FRAX"
"c3_response",0.0001484225649794,NA,NA,NA,"ALPO","Sap_Dens_FRAX"
"Intercept",0.00604410940592311,NA,NA,NA,"ALPO","Sap_Dens_FAGGRA"
"Slope",0.000646247035984768,NA,NA,NA,"ALPO","Sap_Dens_FAGGRA"
"c1_response",0.00669035644190788,NA,NA,NA,"ALPO","Sap_Dens_FAGGRA"
"c2_response",0.00733660347789265,NA,NA,NA,"ALPO","Sap_Dens_FAGGRA"
"c3_response",0.00798285051387742,NA,NA,NA,"ALPO","Sap_Dens_FAGGRA"
"Intercept",NA,NA,NA,NA,"ALPO","Sap_Dens_TSUCAN"
"Slope",NA,NA,NA,NA,"ALPO","Sap_Dens_TSUCAN"
"c1_response",NA,NA,NA,NA,"ALPO","Sap_Dens_TSUCAN"
"c2_response",NA,NA,NA,NA,"ALPO","Sap_Dens_TSUCAN"
"c3_response",NA,NA,NA,NA,"ALPO","Sap_Dens_TSUCAN"
"Intercept",NA,NA,NA,NA,"ALPO","Sap_Dens_ASITRI"
"Slope",NA,NA,NA,NA,"ALPO","Sap_Dens_ASITRI"
"c1_response",NA,NA,NA,NA,"ALPO","Sap_Dens_ASITRI"
"c2_response",NA,NA,NA,NA,"ALPO","Sap_Dens_ASITRI"
"c3_response",NA,NA,NA,NA,"ALPO","Sap_Dens_ASITRI"
"Intercept",0.114827512552037,0.0269797585214921,0.23331851270553,1000,"ALPO","Seed_Dens_FRAX"
"Slope",0.00772880870450866,-0.0120639468129074,0.0285414531857516,1000,"ALPO","Seed_Dens_FRAX"
"c1_response",0.122556321256545,0.0354247827831103,0.234225267772085,1000,"ALPO","Seed_Dens_FRAX"
"c2_response",0.130285129961054,0.0401744498997502,0.243409401270492,1000,"ALPO","Seed_Dens_FRAX"
"c3_response",0.138013938665563,0.0432429329730364,0.252487537973215,1000,"ALPO","Seed_Dens_FRAX"
"Intercept",0.0928252727874505,0.0207519477802834,0.170688731718986,1000,"ALPO","Seed_Dens_FAGGRA"
"Slope",0.00164861369368888,-0.0108527992683622,0.0132597961205373,1000,"ALPO","Seed_Dens_FAGGRA"
"c1_response",0.0944738864811393,0.0297706004222401,0.166746221043971,1000,"ALPO","Seed_Dens_FAGGRA"
"c2_response",0.0961225001748282,0.0350760218320752,0.168246800053016,1000,"ALPO","Seed_Dens_FAGGRA"
"c3_response",0.0977711138685171,0.0378643380064244,0.171224463688962,1000,"ALPO","Seed_Dens_FAGGRA"
"Intercept",0.000209576854538149,NA,NA,NA,"ALPO","Seed_Dens_TSUCAN"
"Slope",0.000464336849947623,NA,NA,NA,"ALPO","Seed_Dens_TSUCAN"
"c1_response",0.000673913704485772,NA,NA,NA,"ALPO","Seed_Dens_TSUCAN"
"c2_response",0.00113825055443339,NA,NA,NA,"ALPO","Seed_Dens_TSUCAN"
"c3_response",0.00160258740438102,NA,NA,NA,"ALPO","Seed_Dens_TSUCAN"
"Intercept",NA,NA,NA,NA,"ALPO","Seed_Dens_ASITRI"
