"Plot_Name","Network","Unit_Code","Year","cycle","lat_rank","excludeEvent","Tree_BA_FRAX","Tree_BA_FAGGRA","Tree_BA_TSUCAN","Tree_BA_ASITRI","Tree_Dens_FRAX","Tree_Dens_FAGGRA","Tree_Dens_TSUCAN","Tree_Dens_ASITRI","Sap_BA_FRAX","Sap_BA_FAGGRA","Sap_BA_TSUCAN","Sap_BA_ASITRI","Sap_Dens_FRAX","Sap_Dens_FAGGRA","Sap_Dens_TSUCAN","Sap_Dens_ASITRI","Seed_Dens_FRAX","Seed_Dens_FAGGRA","Seed_Dens_TSUCAN","Seed_Dens_ASITRI"
"ALPO-031","ERMN","ALPO",2010,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-031","ERMN","ALPO",2014,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-031","ERMN","ALPO",2018,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-036","ERMN","ALPO",2011,1,29,0,0,13.637265223117,0,0,0,141.471060526129,0,0,0,0,0,0,0,0,0,0,0,0.139220365950676,0,0
"ALPO-036","ERMN","ALPO",2015,2,29,0,0,14.7214455361741,0,0,0,141.471060526129,0,0,0,0,0,0,0,0,0,0,0,0.178997613365155,0,0
"ALPO-036","ERMN","ALPO",2019,3,29,0,0,16.1129154566951,0,0,0,155.618166578742,0,0,0,0,0,0,0,0,0,0,0,0.238663484486873,0,0
"ALPO-040","ERMN","ALPO",2009,1,29,0,3.38323013366747,0,0,0,28.2942121052258,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0
"ALPO-040","ERMN","ALPO",2013,2,29,0,3.49953040562746,0,0,0,28.2942121052258,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0.0397772474144789,0,0
"ALPO-040","ERMN","ALPO",2017,3,29,0,3.61028622017768,0,0,0,28.2942121052258,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0
"ALPO-041","ERMN","ALPO",2008,1,29,0,0.804012991238831,3.88542019689243,0,0,14.1471060526129,99.0297423682904,0,0,0,0,0,0,0,0,0,0,0,0.258552108194113,0,0
"ALPO-041","ERMN","ALPO",2012,2,29,0,0.780279602406641,4.30344339663245,0,0,14.1471060526129,99.0297423682904,0,0,0,0,0,0,0,0,0,0,0,0.178997613365155,0.0596658711217184,0
"ALPO-041","ERMN","ALPO",2016,3,29,0,0.786179616203407,4.73694441034402,0,0,14.1471060526129,99.0297423682904,0,0,0,0,0,0,0,0,0,0,0,0.0994431185361973,0.0198886237072395,0
"ALPO-047","ERMN","ALPO",2009,1,29,0,0,0,0,0,0,0,113.176848420903,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-047","ERMN","ALPO",2013,2,29,0,0,0,0,0,0,0,84.8826363156775,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-047","ERMN","ALPO",2017,3,29,0,0,0,0,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-052","ERMN","ALPO",2008,1,29,0,0,8.13654124895054,0,0,0,99.0297423682904,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0.0397772474144789,0,0
"ALPO-052","ERMN","ALPO",2012,2,29,0,0,8.60633123641021,0,0,0,99.0297423682904,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0.0795544948289578,0,0
"ALPO-052","ERMN","ALPO",2016,3,29,0,0,9.2084659777932,0,0,0,99.0297423682904,0,0,0,0,0,0,0,0,0,0,0,0.119331742243437,0,0
"ALPO-053","ERMN","ALPO",2010,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-053","ERMN","ALPO",2014,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-053","ERMN","ALPO",2018,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
