"Plot_Name","Unit_Code","Year","Network","cycle","DBI","lat_rank","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","Tree_BA_Total","Tree_BA_Native","Tree_BA_NatCan","Tree_BA_Exotic","Tree_Dens_Total","Tree_Dens_Native","Tree_Dens_NatCan","Tree_Dens_Exotic","tree_10cm_BA_Total","tree_10cm_BA_Native","tree_10cm_BA_NatCan","tree_10cm_BA_Exotic","tree_20cm_BA_Total","tree_20cm_BA_Native","tree_20cm_BA_NatCan","tree_20cm_BA_Exotic","tree_30cm_BA_Total","tree_30cm_BA_Native","tree_30cm_BA_NatCan","tree_30cm_BA_Exotic","tree_40cm_BA_Total","tree_40cm_BA_Native","tree_40cm_BA_NatCan","tree_40cm_BA_Exotic","tree_10cm_Dens_Total","tree_10cm_Dens_Native","tree_10cm_Dens_NatCan","tree_10cm_Dens_Exotic","tree_20cm_Dens_Total","tree_20cm_Dens_Native","tree_20cm_Dens_NatCan","tree_20cm_Dens_Exotic","tree_30cm_Dens_Total","tree_30cm_Dens_Native","tree_30cm_Dens_NatCan","tree_30cm_Dens_Exotic","tree_40cm_Dens_Total","tree_40cm_Dens_Native","tree_40cm_Dens_NatCan","tree_40cm_Dens_Exotic","Sap_Dens_Total","Sap_Dens_Native","Sap_Dens_NatCan","Sap_Dens_Exotic","Sap_BA_Total","Sap_BA_Native","Sap_BA_NatCan","Sap_BA_Exotic","Seed_Dens_Total","Seed_Dens_Native","Seed_Dens_NatCan","Seed_Dens_Exotic","Tree_BA_NatOth","Tree_Dens_NatOth","tree_10cm_BA_NatOth","tree_10cm_Dens_NatOth","tree_20cm_BA_NatOth","tree_20cm_Dens_NatOth","tree_30cm_BA_NatOth","tree_30cm_Dens_NatOth","tree_40cm_BA_NatOth","tree_40cm_Dens_NatOth","Sap_BA_NatOth","Sap_Dens_NatOth","Seed_Dens_NatOth","stock_final","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"PRWI-0708","PRWI",2017,"NCRN",3,3,12,3,28.27,12,1,3,28.27,12,1,0,35.5289,35.5289,34.23048,0,481.0016,481.0016,381.9719,0,2.56869,2.56869,1.270269,0,4.963512,4.963512,4.963512,0,7.95322,7.95322,7.95322,0,20.04348,20.04348,20.04348,0,169.7653,169.7653,70.73553,0,99.02974,99.02974,99.02974,0,84.88264,84.88264,84.88264,0,127.324,127.324,127.324,0,0.1179106,0.1179106,0.08253744,0,4.718783,4.718783,2.294541,0,0.5,0.5,0.25,0,1.298421,99.02974,1.298421,99.02974,0,0,0,0,0,0,2.424242,0.03537319,0.25,10.55014,0.5454545,0.7673623,0.4,0.4040067
"PRWI-0708","PRWI",2013,"NCRN",2,3,12,3,28.27,12,1,3,28.27,12,1,0,34.22143,34.22143,33.11823,0,495.1487,495.1487,396.119,0,2.965516,2.965516,1.862325,0,5.304457,5.304457,5.304457,0,10.75817,10.75817,10.75817,0,15.19328,15.19328,15.19328,0,183.9124,183.9124,84.88264,0,99.02974,99.02974,99.02974,0,113.1768,113.1768,113.1768,0,99.02974,99.02974,99.02974,0,0.1532838,0.1532838,0.07074637,0,4.493574,4.493574,1.913689,0,1.25,1.25,0.8333333,0,1.103191,99.02974,1.103191,99.02974,0,0,0,0,0,0,2.579884,0.08253744,0.4166667,11.51917,0.5454545,0.7248556,0.5454545,0.3241379
"PRWI-0712","PRWI",2018,"NCRN",3,4,12,3,28.27,12,1,3,28.27,12,1,0,28.99577,28.99577,28.76531,0,622.4727,622.4727,608.3256,0,6.102637,6.102637,5.872181,0,2.919821,2.919821,2.919821,0,11.27482,11.27482,11.27482,0,8.69849,8.69849,8.69849,0,410.2661,410.2661,396.119,0,56.58842,56.58842,56.58842,0,113.1768,113.1768,113.1768,0,42.44132,42.44132,42.44132,0,0.1532838,0.1532838,0.1414927,0,3.665841,3.665841,3.405259,0,0.3333333,0.3333333,0.25,0,0.2304564,14.14711,0.2304564,14.14711,0,0,0,0,0,0,0.2605825,0.01179106,0.08333333,62.91001,0.6666667,0.2137264,0.4,0.5710692
"PRWI-0712","PRWI",2014,"NCRN",2,4,12,3,28.27,12,1,3,28.27,12,1,0,27.21677,27.21677,27.0347,0,537.59,537.59,523.4429,0,4.331844,4.331844,4.149771,0,4.077762,4.077762,4.077762,0,10.75322,10.75322,10.75322,0,8.053947,8.053947,8.053947,0,297.0892,297.0892,282.9421,0,84.88264,84.88264,84.88264,0,113.1768,113.1768,113.1768,0,42.44132,42.44132,42.44132,0,0.1768659,0.1768659,0.1532838,0,3.979484,3.979484,3.577408,0,0.08333333,0.08333333,0,0,0.1820733,14.14711,0.1820733,14.14711,0,0,0,0,0,0,0.4020752,0.02358212,0.08333333,7.408543,0.6153846,0.3728716,0.2222222,0.956422
"PRWI-0712","PRWI",2010,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,28.1045,28.1045,27.94973,0,580.0313,580.0313,565.8842,0,4.545182,4.545182,4.390413,0,3.942657,3.942657,3.942657,0,11.99406,11.99406,11.99406,0,7.622602,7.622602,7.622602,0,325.3834,325.3834,311.2363,0,84.88264,84.88264,84.88264,0,127.324,127.324,127.324,0,42.44132,42.44132,42.44132,0,0.1768659,0.1768659,0.1532838,0,3.578587,3.578587,3.187124,0,0.3333333,0.3333333,0.25,0,0.1547693,14.14711,0.1547693,14.14711,0,0,0,0,0,0,0.3914633,0.02358212,0.08333333,90.21531,0.6153846,0.4326884,0.4,0.7236854
"PRWI-0721","PRWI",2016,"NCRN",3,5,12,3,28.27,12,1,3,28.27,12,1,0,33.71057,33.71057,33.71057,0,367.8248,367.8248,367.8248,0,2.846964,2.846964,2.846964,0,3.091709,3.091709,3.091709,0,1.690013,1.690013,1.690013,0,26.08189,26.08189,26.08189,0,155.6182,155.6182,155.6182,0,70.73553,70.73553,70.73553,0,14.14711,14.14711,14.14711,0,127.324,127.324,127.324,0,0.1179106,0.1179106,0.0943285,0,1.525763,1.525763,1.021106,0,0.25,0.25,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0.5046575,0.02358212,0.08333333,40.18431,0.3636364,0.1971851,0.2,0.2670321
"PRWI-0721","PRWI",2008,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,29.34336,29.34336,29.34336,0,325.3834,325.3834,325.3834,0,2.405998,2.405998,2.405998,0,2.311071,2.311071,2.311071,0,3.105431,3.105431,3.105431,0,21.52086,21.52086,21.52086,0,127.324,127.324,127.324,0,56.58842,56.58842,56.58842,0,28.29421,28.29421,28.29421,0,113.1768,113.1768,113.1768,0,0.1532838,0.1532838,0.1179106,0,1.598868,1.598868,1.157882,0,0.1666667,0.1666667,0.08333333,0,0,0,0,0,0,0,0,0,0,0,0.4409857,0.03537319,0.08333333,46.54565,0.4615385,0.2002771,0.2,0.4383394
"PRWI-0721","PRWI",2012,"NCRN",2,NA,12,3,28.27,12,1,3,28.27,12,1,0,31.80595,31.80595,31.80595,0,367.8248,367.8248,367.8248,0,2.687243,2.687243,2.687243,0,2.888415,2.888415,2.888415,0,1.554201,1.554201,1.554201,0,24.67609,24.67609,24.67609,0,155.6182,155.6182,155.6182,0,70.73553,70.73553,70.73553,0,14.14711,14.14711,14.14711,0,127.324,127.324,127.324,0,0.1297017,0.1297017,0.1061196,0,1.427898,1.427898,0.9998821,0,0.3333333,0.3333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0.4280156,0.02358212,0.08333333,48.64005,0.3636364,0.1977789,0.2,0.2384052
"PRWI-0722","PRWI",2018,"NCRN",3,4,12,3,28.27,12,1,3,28.27,12,1,0,25.76032,25.76032,25.76032,0,339.5305,339.5305,339.5305,0,1.920045,1.920045,1.920045,0,5.371656,5.371656,5.371656,0,3.159473,3.159473,3.159473,0,15.30915,15.30915,15.30915,0,113.1768,113.1768,113.1768,0,113.1768,113.1768,113.1768,0,28.29421,28.29421,28.29421,0,84.88264,84.88264,84.88264,0,0.05895531,0.05895531,0.05895531,0,1.208584,1.208584,1.208584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81709,0.5,0.2389926,0,0
"PRWI-0722","PRWI",2014,"NCRN",2,4,12,3,28.27,12,1,3,28.27,12,1,0,26.23354,26.23354,26.23354,0,367.8248,367.8248,367.8248,0,2.001108,2.001108,2.001108,0,5.187461,5.187461,5.187461,0,4.174952,4.174952,4.174952,0,14.87002,14.87002,14.87002,0,127.324,127.324,127.324,0,113.1768,113.1768,113.1768,0,42.44132,42.44132,42.44132,0,84.88264,84.88264,84.88264,0,0.05895531,0.05895531,0.05895531,0,1.206226,1.206226,1.206226,0,0.25,0.25,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333,16.91148,0.5,0.2388036,0.2222222,0.9086116
