"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order"
"ANTI",8,"Sorensen Seedling","Status","acceptable",4,"Probable Failure","Sorensen Seedling"
"ANTI",10,"Tree BA","Total","nonsign",4,"Probable Failure","Tree BA"
"ANTI",11,"Tree Density","Total","nonsign",4,"Probable Failure","Tree Density"
"ANTI",12,"Sapling BA","Total","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",13,"Sapling Density","Total","nonsign",4,"Probable Failure","Sapling Density"
"ANTI",14,"Seedling Density","Total","signinc_good",4,"Probable Failure","Seedling Density"
"ANTI",15,"Tree BA","Native Canopy","signinc_good",4,"Probable Failure","Tree BA"
"ANTI",16,"Tree Density","Native Canopy","signinc_good",4,"Probable Failure","Tree Density"
"ANTI",17,"Sapling BA","Native Canopy","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",18,"Sapling Density","Native Canopy","signdec_bad",4,"Probable Failure","Sapling Density"
"ANTI",19,"Seedling Density","Native Canopy","nonsign",4,"Probable Failure","Seedling Density"
"ANTI",30,"Stocking Index","Native Canopy","nonsign",4,"Probable Failure","Stocking Index"
"ANTI",20,"Tree BA","Native Subcan.","signdec_bad",4,"Probable Failure","Tree BA"
"ANTI",21,"Tree Density","Native Subcan.","nonsign",4,"Probable Failure","Tree Density"
"ANTI",22,"Sapling BA","Native Subcan.","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",23,"Sapling Density","Native Subcan.","nonsign",4,"Probable Failure","Sapling Density"
"ANTI",24,"Seedling Density","Native Subcan.","signinc_good",4,"Probable Failure","Seedling Density"
"ANTI",25,"Tree BA","Exotic","nonsign",4,"Probable Failure","Tree BA"
"ANTI",26,"Tree Density","Exotic","signdec_good",4,"Probable Failure","Tree Density"
"ANTI",27,"Sapling BA","Exotic","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",28,"Sapling Density","Exotic","signdec_good",4,"Probable Failure","Sapling Density"
"ANTI",29,"Seedling Density","Exotic","nonsign",4,"Probable Failure","Seedling Density"
"APCO",1,"Sapling Density","Status","caution",2,"Insecure","Sapling Density"
"APCO",2,"Seedling Density","Status","caution",2,"Insecure","Seedling Density"
"APCO",3,"% Stocked Plots","Status","critical",2,"Insecure","% Stocked Plots"
"APCO",4,"Stocking Index","Status","caution",2,"Insecure","Stocking Index"
"APCO",9,"Deer Browse Impacts","Status","caution",2,"Insecure","Deer Browse Impacts"
"APCO",10,"Flat Tree Diam. Dist.","Status","acceptable",2,"Insecure","Flat Tree Diam. Dist."
"APCO",5,"Sapling Composition","Status","caution",2,"Insecure","Sapling Composition"
"APCO",6,"Seedling Composition","Status","caution",2,"Insecure","Seedling Composition"
"APCO",7,"Sorensen Sapling","Status","acceptable",2,"Insecure","Sorensen Sapling"
"APCO",8,"Sorensen Seedling","Status","critical",2,"Insecure","Sorensen Seedling"
"APCO",10,"Tree BA","Total","signinc_good",2,"Insecure","Tree BA"
"APCO",11,"Tree Density","Total","nonsign",2,"Insecure","Tree Density"
"APCO",12,"Sapling BA","Total","signdec_bad",2,"Insecure","Sapling BA"
"APCO",13,"Sapling Density","Total","signdec_bad",2,"Insecure","Sapling Density"
"APCO",14,"Seedling Density","Total","nonsign",2,"Insecure","Seedling Density"
"APCO",15,"Tree BA","Native Canopy","signinc_good",2,"Insecure","Tree BA"
"APCO",16,"Tree Density","Native Canopy","nonsign",2,"Insecure","Tree Density"
"APCO",17,"Sapling BA","Native Canopy","nonsign",2,"Insecure","Sapling BA"
"APCO",18,"Sapling Density","Native Canopy","signdec_bad",2,"Insecure","Sapling Density"
"APCO",19,"Seedling Density","Native Canopy","nonsign",2,"Insecure","Seedling Density"
"APCO",30,"Stocking Index","Native Canopy","signdec_bad",2,"Insecure","Stocking Index"
"APCO",20,"Tree BA","Native Subcan.","nonsign",2,"Insecure","Tree BA"
"APCO",21,"Tree Density","Native Subcan.","signdec_bad",2,"Insecure","Tree Density"
"APCO",22,"Sapling BA","Native Subcan.","signdec_bad",2,"Insecure","Sapling BA"
"APCO",23,"Sapling Density","Native Subcan.","signdec_bad",2,"Insecure","Sapling Density"
"APCO",24,"Seedling Density","Native Subcan.","nonsign",2,"Insecure","Seedling Density"
"APCO",25,"Tree BA","Exotic","notmod",2,"Insecure","Tree BA"
"APCO",26,"Tree Density","Exotic","notmod",2,"Insecure","Tree Density"
"APCO",27,"Sapling BA","Exotic","notmod",2,"Insecure","Sapling BA"
"APCO",28,"Sapling Density","Exotic","notmod",2,"Insecure","Sapling Density"
"APCO",29,"Seedling Density","Exotic","notmod",2,"Insecure","Seedling Density"
"BLUE",1,"Sapling Density","Status","critical",5,"Probable Failure","Sapling Density"
"BLUE",2,"Seedling Density","Status","caution",5,"Probable Failure","Seedling Density"
"BLUE",3,"% Stocked Plots","Status","critical",5,"Probable Failure","% Stocked Plots"
"BLUE",4,"Stocking Index","Status","critical",5,"Probable Failure","Stocking Index"
"BLUE",9,"Deer Browse Impacts","Status","acceptable",5,"Probable Failure","Deer Browse Impacts"
"BLUE",10,"Flat Tree Diam. Dist.","Status","acceptable",5,"Probable Failure","Flat Tree Diam. Dist."
"BLUE",5,"Sapling Composition","Status","caution",5,"Probable Failure","Sapling Composition"
"BLUE",6,"Seedling Composition","Status","critical",5,"Probable Failure","Seedling Composition"
"BLUE",7,"Sorensen Sapling","Status","critical",5,"Probable Failure","Sorensen Sapling"
"BLUE",8,"Sorensen Seedling","Status","acceptable",5,"Probable Failure","Sorensen Seedling"
"BLUE",10,"Tree BA","Total","nonsign",5,"Probable Failure","Tree BA"
"BLUE",11,"Tree Density","Total","signdec_bad",5,"Probable Failure","Tree Density"
"BLUE",12,"Sapling BA","Total","nonsign",5,"Probable Failure","Sapling BA"
"BLUE",13,"Sapling Density","Total","nonsign",5,"Probable Failure","Sapling Density"
"BLUE",14,"Seedling Density","Total","signinc_good",5,"Probable Failure","Seedling Density"
"BLUE",15,"Tree BA","Native Canopy","nonsign",5,"Probable Failure","Tree BA"
"BLUE",16,"Tree Density","Native Canopy","signdec_bad",5,"Probable Failure","Tree Density"
"BLUE",17,"Sapling BA","Native Canopy","nonsign",5,"Probable Failure","Sapling BA"
"BLUE",18,"Sapling Density","Native Canopy","nonsign",5,"Probable Failure","Sapling Density"
"BLUE",19,"Seedling Density","Native Canopy","signinc_good",5,"Probable Failure","Seedling Density"
"BLUE",30,"Stocking Index","Native Canopy","nonsign",5,"Probable Failure","Stocking Index"
"BLUE",20,"Tree BA","Native Subcan.","signdec_bad",5,"Probable Failure","Tree BA"
"BLUE",21,"Tree Density","Native Subcan.","signdec_bad",5,"Probable Failure","Tree Density"
"BLUE",22,"Sapling BA","Native Subcan.","nonsign",5,"Probable Failure","Sapling BA"
"BLUE",23,"Sapling Density","Native Subcan.","nonsign",5,"Probable Failure","Sapling Density"
"BLUE",24,"Seedling Density","Native Subcan.","signinc_good",5,"Probable Failure","Seedling Density"
"BLUE",25,"Tree BA","Exotic","notmod",5,"Probable Failure","Tree BA"
"BLUE",26,"Tree Density","Exotic","notmod",5,"Probable Failure","Tree Density"
"BLUE",27,"Sapling BA","Exotic","notmod",5,"Probable Failure","Sapling BA"
"BLUE",28,"Sapling Density","Exotic","notmod",5,"Probable Failure","Sapling Density"
"BLUE",29,"Seedling Density","Exotic","nonsign",5,"Probable Failure","Seedling Density"
"BOWA",1,"Sapling Density","Status","critical",3,"Insecure","Sapling Density"
"BOWA",2,"Seedling Density","Status","caution",3,"Insecure","Seedling Density"
"BOWA",3,"% Stocked Plots","Status","critical",3,"Insecure","% Stocked Plots"
"BOWA",4,"Stocking Index","Status","caution",3,"Insecure","Stocking Index"
"BOWA",9,"Deer Browse Impacts","Status","caution",3,"Insecure","Deer Browse Impacts"
"BOWA",10,"Flat Tree Diam. Dist.","Status","acceptable",3,"Insecure","Flat Tree Diam. Dist."
"BOWA",5,"Sapling Composition","Status","critical",3,"Insecure","Sapling Composition"
"BOWA",6,"Seedling Composition","Status","caution",3,"Insecure","Seedling Composition"
"BOWA",7,"Sorensen Sapling","Status","acceptable",3,"Insecure","Sorensen Sapling"
"BOWA",8,"Sorensen Seedling","Status","acceptable",3,"Insecure","Sorensen Seedling"
"BOWA",10,"Tree BA","Total","nonsign",3,"Insecure","Tree BA"
"BOWA",11,"Tree Density","Total","nonsign",3,"Insecure","Tree Density"
"BOWA",12,"Sapling BA","Total","nonsign",3,"Insecure","Sapling BA"
"BOWA",13,"Sapling Density","Total","signdec_bad",3,"Insecure","Sapling Density"
"BOWA",14,"Seedling Density","Total","nonsign",3,"Insecure","Seedling Density"
"BOWA",15,"Tree BA","Native Canopy","nonsign",3,"Insecure","Tree BA"
"BOWA",16,"Tree Density","Native Canopy","nonsign",3,"Insecure","Tree Density"
"BOWA",17,"Sapling BA","Native Canopy","nonsign",3,"Insecure","Sapling BA"
"BOWA",18,"Sapling Density","Native Canopy","nonsign",3,"Insecure","Sapling Density"
"BOWA",19,"Seedling Density","Native Canopy","nonsign",3,"Insecure","Seedling Density"
"BOWA",30,"Stocking Index","Native Canopy","signdec_bad",3,"Insecure","Stocking Index"
"BOWA",20,"Tree BA","Native Subcan.","nonsign",3,"Insecure","Tree BA"
"BOWA",21,"Tree Density","Native Subcan.","nonsign",3,"Insecure","Tree Density"
"BOWA",22,"Sapling BA","Native Subcan.","nonsign",3,"Insecure","Sapling BA"
"BOWA",23,"Sapling Density","Native Subcan.","signdec_bad",3,"Insecure","Sapling Density"
"BOWA",24,"Seedling Density","Native Subcan.","nonsign",3,"Insecure","Seedling Density"
"BOWA",25,"Tree BA","Exotic","notmod",3,"Insecure","Tree BA"
"BOWA",26,"Tree Density","Exotic","notmod",3,"Insecure","Tree Density"
"BOWA",27,"Sapling BA","Exotic","notmod",3,"Insecure","Sapling BA"
"BOWA",28,"Sapling Density","Exotic","notmod",3,"Insecure","Sapling Density"
"BOWA",29,"Seedling Density","Exotic","nonsign",3,"Insecure","Seedling Density"
"CATO",1,"Sapling Density","Status","critical",9,"Imminent Failure","Sapling Density"
"CATO",2,"Seedling Density","Status","critical",9,"Imminent Failure","Seedling Density"
"CATO",3,"% Stocked Plots","Status","critical",9,"Imminent Failure","% Stocked Plots"
"CATO",4,"Stocking Index","Status","critical",9,"Imminent Failure","Stocking Index"
"CATO",9,"Deer Browse Impacts","Status","critical",9,"Imminent Failure","Deer Browse Impacts"
"CATO",10,"Flat Tree Diam. Dist.","Status","acceptable",9,"Imminent Failure","Flat Tree Diam. Dist."
"CATO",5,"Sapling Composition","Status","critical",9,"Imminent Failure","Sapling Composition"
"CATO",6,"Seedling Composition","Status","critical",9,"Imminent Failure","Seedling Composition"
"CATO",7,"Sorensen Sapling","Status","critical",9,"Imminent Failure","Sorensen Sapling"
"CATO",8,"Sorensen Seedling","Status","critical",9,"Imminent Failure","Sorensen Seedling"
"CATO",10,"Tree BA","Total","nonsign",9,"Imminent Failure","Tree BA"
"CATO",11,"Tree Density","Total","nonsign",9,"Imminent Failure","Tree Density"
"CATO",12,"Sapling BA","Total","nonsign",9,"Imminent Failure","Sapling BA"
"CATO",13,"Sapling Density","Total","nonsign",9,"Imminent Failure","Sapling Density"
"CATO",14,"Seedling Density","Total","signinc_good",9,"Imminent Failure","Seedling Density"
"CATO",15,"Tree BA","Native Canopy","nonsign",9,"Imminent Failure","Tree BA"
"CATO",16,"Tree Density","Native Canopy","signdec_bad",9,"Imminent Failure","Tree Density"
"CATO",17,"Sapling BA","Native Canopy","signdec_bad",9,"Imminent Failure","Sapling BA"
"CATO",18,"Sapling Density","Native Canopy","signdec_bad",9,"Imminent Failure","Sapling Density"
"CATO",19,"Seedling Density","Native Canopy","signinc_good",9,"Imminent Failure","Seedling Density"
"CATO",30,"Stocking Index","Native Canopy","nonsign",9,"Imminent Failure","Stocking Index"
"CATO",20,"Tree BA","Native Subcan.","signdec_bad",9,"Imminent Failure","Tree BA"
"CATO",21,"Tree Density","Native Subcan.","nonsign",9,"Imminent Failure","Tree Density"
"CATO",22,"Sapling BA","Native Subcan.","nonsign",9,"Imminent Failure","Sapling BA"
"CATO",23,"Sapling Density","Native Subcan.","nonsign",9,"Imminent Failure","Sapling Density"
"CATO",24,"Seedling Density","Native Subcan.","signinc_good",9,"Imminent Failure","Seedling Density"
"CATO",25,"Tree BA","Exotic","notmod",9,"Imminent Failure","Tree BA"
"CATO",26,"Tree Density","Exotic","notmod",9,"Imminent Failure","Tree Density"
"CATO",27,"Sapling BA","Exotic","notmod",9,"Imminent Failure","Sapling BA"
"CATO",28,"Sapling Density","Exotic","notmod",9,"Imminent Failure","Sapling Density"
"CATO",29,"Seedling Density","Exotic","notmod",9,"Imminent Failure","Seedling Density"
"CHOH",1,"Sapling Density","Status","critical",6,"Imminent Failure","Sapling Density"
"CHOH",2,"Seedling Density","Status","critical",6,"Imminent Failure","Seedling Density"
"CHOH",3,"% Stocked Plots","Status","critical",6,"Imminent Failure","% Stocked Plots"
"CHOH",4,"Stocking Index","Status","critical",6,"Imminent Failure","Stocking Index"
"CHOH",9,"Deer Browse Impacts","Status","caution",6,"Imminent Failure","Deer Browse Impacts"
"CHOH",10,"Flat Tree Diam. Dist.","Status","acceptable",6,"Imminent Failure","Flat Tree Diam. Dist."
"CHOH",5,"Sapling Composition","Status","critical",6,"Imminent Failure","Sapling Composition"
"CHOH",6,"Seedling Composition","Status","critical",6,"Imminent Failure","Seedling Composition"
"CHOH",7,"Sorensen Sapling","Status","acceptable",6,"Imminent Failure","Sorensen Sapling"
"CHOH",8,"Sorensen Seedling","Status","acceptable",6,"Imminent Failure","Sorensen Seedling"
"CHOH",10,"Tree BA","Total","signinc_good",6,"Imminent Failure","Tree BA"
