"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"Intercept",0.0227015971118642,0.0107679748697276,0.0354026401742137,1000,"ALPO","Sap_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.00231690321708553,-0.0047725150830235,0.0000716636527524168,1000,"ALPO","Sap_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.0203846938947787,0.00980603893881866,0.0324610526518734,1000,"ALPO","Sap_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.0180677906776932,0.0087120100888117,0.0294237949140987,1000,"ALPO","Sap_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.0157508874606076,0.00676920069961318,0.0277003600437368,1000,"ALPO","Sap_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.0923174667322588,0.0502258416605257,0.1417171922678,1000,"ALPO","Sap_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0068789778004533,-0.0157453045156902,0.00165900829066602,1000,"ALPO","Sap_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.0854384889318055,0.0438585555406245,0.13373114038486,1000,"ALPO","Sap_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.0785595111313522,0.0383398233045407,0.128860788069574,1000,"ALPO","Sap_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.0716805333308989,0.0320126310729057,0.126414330847086,1000,"ALPO","Sap_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.118271669360475,0.0774530593415178,0.170958408557497,1000,"ALPO","Sap_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.00956360351863135,-0.018231238398303,-0.00109902444580437,1000,"ALPO","Sap_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.108708065841844,0.0675537221704769,0.162140162348842,1000,"ALPO","Sap_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.0991444623232122,0.0567641258977858,0.154482296173406,1000,"ALPO","Sap_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.0895808588045808,0.0446202836706284,0.147938569709837,1000,"ALPO","Sap_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.027713258578016,0.00679831111671488,0.050942455497739,1000,"ALPO","Seed_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.00276087869882613,-0.00924396899137879,0.00331477061787323,1000,"ALPO","Seed_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.0249523798791898,0.00773023859942382,0.0452812089369008,1000,"ALPO","Seed_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.0221915011803637,0.00718200300539204,0.0395053172246958,1000,"ALPO","Seed_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.0194306224815376,0.00549986757857722,0.037939699386431,1000,"ALPO","Seed_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.619509695508423,0.326495807318144,0.954122413082824,1000,"ALPO","Seed_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.104150966937602,-0.179219554093272,-0.0353075678777876,1000,"ALPO","Seed_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.515358728570821,0.278695418625754,0.790066058850072,1000,"ALPO","Seed_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.411207761633219,0.225473252295531,0.622521703976004,1000,"ALPO","Seed_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.307056794695617,0.153052759438845,0.474468347682938,1000,"ALPO","Seed_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.583032512387464,0.294980056130117,0.974019089315995,1000,"ALPO","Seed_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0728567894881599,-0.151866086039548,-0.0107716146755208,1000,"ALPO","Seed_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.510175722899305,0.278848172456467,0.835876726185305,1000,"ALPO","Seed_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.437318933411145,0.249402341279616,0.699006852431187,1000,"ALPO","Seed_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.364462143922985,0.209195581105542,0.575054687699458,1000,"ALPO","Seed_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",1.22954397087252,0.691301640572828,1.84994098123406,1000,"ALPO","Seed_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.179235013423555,-0.310957896004597,-0.0700038119862099,1000,"ALPO","Seed_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",1.05030895744897,0.611580189119079,1.54169050393737,1000,"ALPO","Seed_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.871073944025412,0.523268221834998,1.25021321342419,1000,"ALPO","Seed_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.691838930601857,0.425153931502195,0.983729472997147,1000,"ALPO","Seed_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.220928564748222,0.123446681876079,0.322245335132102,1000,"ALPO","Sor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0208579865352299,-0.0559790218848189,0.0141929232469921,1000,"ALPO","Sor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.200070578212993,0.127818752448123,0.276711316789191,1000,"ALPO","Sor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.179212591677763,0.118274309038515,0.240145738437151,1000,"ALPO","Sor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.158354605142533,0.0904524671433564,0.225451968689614,1000,"ALPO","Sor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.535439124092075,0.409703460140142,0.653840215119509,1000,"ALPO","Sor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0847740591609283,-0.125801859812295,-0.042774965762813,1000,"ALPO","Sor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.450665064931147,0.362562983440659,0.534278884545124,1000,"ALPO","Sor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.365891005770219,0.306996410807415,0.428137658385637,1000,"ALPO","Sor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.28111694660929,0.226190413548333,0.340511927483138,1000,"ALPO","Sor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",23.2324962921945,11.7787343463208,39.3381633926296,1000,"ALPO","stock_final","ERMN",29,"ALPO","ERMN","#A5BDCD"
