"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"Intercept",0.893772861927661,0.721971101881584,1.0919817756852,1000,"NERI","tree_10cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.0312227680056649,-0.0642851285614523,0.00155209138879103,1000,"NERI","tree_10cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.862550093921996,0.689892671777058,1.0625348222219,1000,"NERI","tree_10cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.831327325916332,0.657287983171518,1.02968177751624,1000,"NERI","tree_10cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.800104557910667,0.614905011481561,1.01326268873515,1000,"NERI","tree_10cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",4.83791573189632,4.44922576614946,5.23751921894605,1000,"NERI","tree_10cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.196065395185682,-0.282069046993744,-0.114095551991165,1000,"NERI","tree_10cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",4.64185033671064,4.24478495580708,5.040099759005,1000,"NERI","tree_10cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",4.44578494152496,4.03816267579744,4.86718292642886,1000,"NERI","tree_10cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",4.24971954633928,3.812782530223,4.70259309661151,1000,"NERI","tree_10cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.981712287337758,NA,NA,NA,"NERI","tree_10cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.282161037698935,NA,NA,NA,"NERI","tree_10cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",1.26387332503669,NA,NA,NA,"NERI","tree_10cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",1.54603436273563,NA,NA,NA,"NERI","tree_10cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",1.82819540043456,NA,NA,NA,"NERI","tree_10cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",236.297770702206,215.351397042437,259.504423815491,1000,"NERI","tree_10cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-11.634677292924,-15.8642445602464,-7.18967921653691,1000,"NERI","tree_10cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",224.663093409282,204.68772897606,247.816710419896,1000,"NERI","tree_10cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",213.028416116358,193.90037840504,237.176051318345,1000,"NERI","tree_10cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",201.393738823434,181.630844134409,226.727239915374,1000,"NERI","tree_10cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",61.5784657167105,49.0266073684034,74.8751540960273,1000,"NERI","tree_10cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-3.19695819191305,-5.19828360564717,-1.30214293543864,1000,"NERI","tree_10cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",58.3815075247974,46.7762126606939,72.0403749053766,1000,"NERI","tree_10cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",55.1845493328844,43.0812864609126,68.8046760976401,1000,"NERI","tree_10cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",51.9875911409713,39.3854111322437,65.8286024582542,1000,"NERI","tree_10cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",298.867139827135,271.859638073382,328.010190934726,1000,"NERI","tree_10cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-14.5596815188508,-19.1274965395132,-9.95747088323473,1000,"NERI","tree_10cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",284.307458308284,257.391088414013,314.146551775296,1000,"NERI","tree_10cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",269.747776789434,242.392240904892,301.051632776609,1000,"NERI","tree_10cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",255.188095270583,226.610769400068,289.267173630634,1000,"NERI","tree_10cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.0584063511239243,NA,NA,NA,"NERI","tree_20cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.0113997952007415,NA,NA,NA,"NERI","tree_20cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.0470065559231828,NA,NA,NA,"NERI","tree_20cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.0356067607224413,NA,NA,NA,"NERI","tree_20cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.0242069655216998,NA,NA,NA,"NERI","tree_20cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",5.28084009115488,4.67451423203803,5.86508637356597,1000,"NERI","tree_20cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.0506107961073432,-0.19426970779453,0.102941356991208,1000,"NERI","tree_20cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",5.23022929504754,4.69597128168652,5.76209401102925,1000,"NERI","tree_20cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",5.1796184989402,4.69923105750632,5.66210894249884,1000,"NERI","tree_20cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",5.12900770283285,4.64259808193988,5.62917753556844,1000,"NERI","tree_20cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.788622242151383,0.551700081599589,1.1097813745746,1000,"NERI","tree_20cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.138476382433418,-0.2252162310018,-0.0721574498007196,1000,"NERI","tree_20cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.650145859717965,0.467917510882682,0.886954199083888,1000,"NERI","tree_20cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.511669477284546,0.373937909058114,0.681619975928177,1000,"NERI","tree_20cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.373193094851128,0.263106460933267,0.504573219955333,1000,"NERI","tree_20cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",6.12486087380681,5.51521512355356,6.77190264989782,1000,"NERI","tree_20cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.199168452642947,-0.363384027099153,-0.0307825487285974,1000,"NERI","tree_20cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",5.92569242116386,5.39642787698723,6.50258496719075,1000,"NERI","tree_20cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",5.72652396852092,5.28633320072515,6.24901314353119,1000,"NERI","tree_20cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",5.52735551587797,5.07465427637079,6.04086084507521,1000,"NERI","tree_20cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",1.10443899510673,NA,NA,NA,"NERI","tree_20cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.210506804910139,NA,NA,NA,"NERI","tree_20cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.893932190196587,NA,NA,NA,"NERI","tree_20cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.683425385286448,NA,NA,NA,"NERI","tree_20cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.472918580376309,NA,NA,NA,"NERI","tree_20cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",112.428636659391,99.5410261267532,124.677097698889,1000,"NERI","tree_20cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-1.67364566627604,-4.63008262354033,1.46660702669725,1000,"NERI","tree_20cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",110.754990993115,99.4675188960308,120.997473004605,1000,"NERI","tree_20cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",109.081345326839,99.429435992923,118.762073075317,1000,"NERI","tree_20cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",107.407699660563,97.7323424290737,116.96303584919,1000,"NERI","tree_20cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",16.386278524962,11.5263892640858,22.1476604599851,1000,"NERI","tree_20cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-2.8227757317829,-4.43923460659112,-1.45332939254305,1000,"NERI","tree_20cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",13.5635027931791,9.80195737766748,18.0601887611474,1000,"NERI","tree_20cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",10.7407270613962,7.98421166505298,14.0044124654966,1000,"NERI","tree_20cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",7.91795132961327,5.64694580701901,10.6951500899415,1000,"NERI","tree_20cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",129.877536455763,117.55313101353,142.032028163527,1000,"NERI","tree_20cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-4.68852366203606,-8.00327756760768,-1.31177016582109,1000,"NERI","tree_20cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",125.189012793727,114.447960102569,135.686112738861,1000,"NERI","tree_20cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",120.500489131691,110.87232048679,129.858625157518,1000,"NERI","tree_20cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",115.811965469654,105.972892514289,125.353810320276,1000,"NERI","tree_20cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.0313038693148091,NA,NA,NA,"NERI","tree_30cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.000424665525813287,NA,NA,NA,"NERI","tree_30cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.0308792037889958,NA,NA,NA,"NERI","tree_30cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.0304545382631826,NA,NA,NA,"NERI","tree_30cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.0300298727373693,NA,NA,NA,"NERI","tree_30cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",6.73467820457108,5.85422068197157,7.63985647121857,1000,"NERI","tree_30cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.0703276435636363,-0.279183292016159,0.132486027604055,1000,"NERI","tree_30cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",6.66435056100744,5.85154003583673,7.4803599008433,1000,"NERI","tree_30cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",6.5940229174438,5.84850526165445,7.32151451050728,1000,"NERI","tree_30cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",6.52369527388017,5.80812110653399,7.22197706932585,1000,"NERI","tree_30cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.542309561501321,0.316800953372391,0.761314182582765,1000,"NERI","tree_30cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.054680520812077,-0.118947931630134,0.00537914212690268,1000,"NERI","tree_30cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.487629040689244,0.305510023873871,0.67767970711101,1000,"NERI","tree_30cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.432948519877167,0.273556642934508,0.60912005361403,1000,"NERI","tree_30cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.37826799906509,0.228569443907439,0.555030831878862,1000,"NERI","tree_30cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",7.30673785596779,6.42980913459425,8.1669431289803,1000,"NERI","tree_30cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.125221585469171,-0.339023207411996,0.102655528453321,1000,"NERI","tree_30cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",7.18151627049862,6.3876854094377,7.91142086725561,1000,"NERI","tree_30cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",7.05629468502945,6.30112718132896,7.72523889901854,1000,"NERI","tree_30cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",6.93107309956028,6.19368739636739,7.61662969542089,1000,"NERI","tree_30cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.183312397307626,NA,NA,NA,"NERI","tree_30cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.0700184006503953,NA,NA,NA,"NERI","tree_30cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.253330797958021,NA,NA,NA,"NERI","tree_30cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.323349198608416,NA,NA,NA,"NERI","tree_30cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.393367599258812,NA,NA,NA,"NERI","tree_30cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",71.9018830667976,62.6604495514337,81.144002877075,1000,"NERI","tree_30cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-1.15471859192412,-3.17482273592156,0.897612403429481,1000,"NERI","tree_30cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",70.7471644748735,62.50658451906,78.8865941046164,1000,"NERI","tree_30cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",69.5924458829494,61.7811682452416,76.630953006884,1000,"NERI","tree_30cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",68.4377272910253,60.7315196186821,75.5344866864649,1000,"NERI","tree_30cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",6.12855760179466,3.75496918942091,8.86558883018527,1000,"NERI","tree_30cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.631267269638276,-1.3517425451477,0.0695606952559243,1000,"NERI","tree_30cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",5.49729033215638,3.6237484648721,7.73038890047256,1000,"NERI","tree_30cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",4.8660230625181,3.2859776745538,6.81797869138919,1000,"NERI","tree_30cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",4.23475579287983,2.56116734136279,6.18630085314414,1000,"NERI","tree_30cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",78.1981427653713,68.9264284514616,87.9150814163878,1000,"NERI","tree_30cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-1.71438406949506,-4.09212499730114,0.481833042944723,1000,"NERI","tree_30cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",76.4837586958762,68.2866084608637,84.6198841151929,1000,"NERI","tree_30cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",74.7693746263812,67.5797416701717,82.5228310579521,1000,"NERI","tree_30cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",73.0549905568861,66.0906194948839,80.6445084599734,1000,"NERI","tree_30cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",-0.00139781694270282,NA,NA,NA,"NERI","tree_40cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.0258362877976364,NA,NA,NA,"NERI","tree_40cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.0244384708549336,NA,NA,NA,"NERI","tree_40cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.0502747586525701,NA,NA,NA,"NERI","tree_40cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.0761110464502065,NA,NA,NA,"NERI","tree_40cm_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",11.2383921267973,9.62504335170975,12.9441156168724,1000,"NERI","tree_40cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",1.31787000879464,0.997049576774693,1.63888549812465,1000,"NERI","tree_40cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",12.556262135592,11.001752496052,14.2301296594321,1000,"NERI","tree_40cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",13.8741321443866,12.2712545936393,15.5322581590661,1000,"NERI","tree_40cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",15.1920021531813,13.5667041150073,17.0219745759148,1000,"NERI","tree_40cm_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.799954210871535,0.4113320314392,1.24189480525414,1000,"NERI","tree_40cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.217666735747557,-0.360520992457925,-0.10054951860914,1000,"NERI","tree_40cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.582287475123978,0.308556885472795,0.892588651564412,1000,"NERI","tree_40cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.364620739376421,0.189091205419482,0.560579426221935,1000,"NERI","tree_40cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.146954003628864,0.0321867847127008,0.283299920925282,1000,"NERI","tree_40cm_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",12.0360256232221,10.4614975798069,13.72483534047,1000,"NERI","tree_40cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",1.12478266981778,0.764639793159759,1.46744832029841,1000,"NERI","tree_40cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",13.1608082930399,11.6716339666128,14.7643355902758,1000,"NERI","tree_40cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",14.2855909628577,12.7053214226482,15.9039081584419,1000,"NERI","tree_40cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",15.4103736326755,13.7539684152553,17.1363038250873,1000,"NERI","tree_40cm_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.0389437923653335,NA,NA,NA,"NERI","tree_40cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.14063072289177,NA,NA,NA,"NERI","tree_40cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.179574515257104,NA,NA,NA,"NERI","tree_40cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.320205238148874,NA,NA,NA,"NERI","tree_40cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.460835961040645,NA,NA,NA,"NERI","tree_40cm_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",55.0025327315931,48.6711739511043,61.9574210106511,1000,"NERI","tree_40cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",5.57394692862958,3.86847799551058,7.23932106455517,1000,"NERI","tree_40cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",60.5764796602227,54.5660184183441,67.3798248042479,1000,"NERI","tree_40cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",66.1504265888523,59.9457080555092,72.8541376814163,1000,"NERI","tree_40cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",71.7243735174818,64.9160452733041,78.9013178823216,1000,"NERI","tree_40cm_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",4.14739317805338,2.2270615032535,6.46486131568966,1000,"NERI","tree_40cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-1.05068348184622,-1.71614844092088,-0.488463912531825,1000,"NERI","tree_40cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",3.09670969620716,1.68969886091778,4.78252132807829,1000,"NERI","tree_40cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",2.04602621436094,1.13193822996531,3.14479422340997,1000,"NERI","tree_40cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.995342732514718,0.369913505524611,1.78689278935443,1000,"NERI","tree_40cm_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",59.1893025278497,51.5072203174106,66.9036123172389,1000,"NERI","tree_40cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",4.65837087129331,2.63671551783478,6.52557225848537,1000,"NERI","tree_40cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",63.8476733991431,56.8491832620202,71.0295338924885,1000,"NERI","tree_40cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",68.5060442704364,61.518502697479,75.4978997796774,1000,"NERI","tree_40cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",73.1644151417297,65.7013263395043,79.9622519766301,1000,"NERI","tree_40cm_Dens_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",0.0983042054016186,NA,NA,NA,"NERI","Tree_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.0214800254735791,NA,NA,NA,"NERI","Tree_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",0.119784230875198,NA,NA,NA,"NERI","Tree_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",0.141264256348777,NA,NA,NA,"NERI","Tree_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",0.162744281822356,NA,NA,NA,"NERI","Tree_BA_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",27.1983311329316,25.5462752510505,28.8895052180024,1000,"NERI","Tree_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",1.02015241266075,0.707102417168538,1.29475430304281,1000,"NERI","Tree_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",28.2184835455924,26.6720703681875,29.803444871811,1000,"NERI","Tree_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",29.2386359582531,27.6705877054496,30.8288265199812,1000,"NERI","Tree_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",30.2587883709139,28.6522414216374,31.9468557261764,1000,"NERI","Tree_BA_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",3.02374951514994,2.39241332230655,3.72954205778617,999,"NERI","Tree_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-0.44131081391151,-0.636994333494075,-0.257854079372859,999,"NERI","Tree_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",2.58243870123843,2.09934237534889,3.13092934903503,999,"NERI","Tree_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",2.14112788732692,1.76645255089398,2.55963409236221,999,"NERI","Tree_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",1.69981707341541,1.36979658625719,2.05080770812281,999,"NERI","Tree_BA_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",30.314658886154,28.7377202156481,31.8459447656609,1000,"NERI","Tree_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.600778766386842,0.251976467060245,0.935540093335369,1000,"NERI","Tree_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",30.9154376525409,29.3801106068021,32.3918840856285,1000,"NERI","Tree_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",31.5162164189277,29.9639158359767,33.0069337936505,1000,"NERI","Tree_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",32.1169951853146,30.4579965248843,33.6952400013366,1000,"NERI","Tree_BA_Total","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",2.25271779437395,NA,NA,NA,"NERI","Tree_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",0.282394863690336,NA,NA,NA,"NERI","Tree_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",2.53511265806429,NA,NA,NA,"NERI","Tree_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",2.81750752175462,NA,NA,NA,"NERI","Tree_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",3.09990238544496,NA,NA,NA,"NERI","Tree_Dens_Exotic","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",476.53789120844,449.559366828331,505.636795376536,1000,"NERI","Tree_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-9.30046772830974,-13.8456072043159,-4.38322882216389,1000,"NERI","Tree_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",467.237423480131,442.108995768507,495.059153355322,1000,"NERI","Tree_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c2_response",457.936955751821,433.068605055442,485.92341072445,1000,"NERI","Tree_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"c3_response",448.636488023511,423.402965112622,476.404229501608,1000,"NERI","Tree_Dens_NatCan","ERMN",7,"NERI","ERMN","#A5BDCD"
"Intercept",88.5445318097317,73.4321941484733,104.747422087569,1000,"NERI","Tree_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"Slope",-7.83866469239855,-10.92198283751,-4.79558104193343,1000,"NERI","Tree_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
"c1_response",80.7058671173331,67.1430557055295,96.2987092237978,1000,"NERI","Tree_Dens_NatOth","ERMN",7,"NERI","ERMN","#A5BDCD"
