"mg_short","lat_rank","metric","mean","lower95","upper95"
"Acadian Mixed",8,"stock_final",59.2609427609427,49.2542929292929,70.3028198653198
"Acadian Mixed",8,"Sap_Dens_Total",0.184957503971028,0.16580549595665,0.20451465061648
"Acadian Mixed",8,"Seed_Dens_Total",0.547238494732528,0.431522865890408,0.680100527952557
"Acadian Mixed",8,"Sap_Dens_NatCan",0.143573095044853,0.121337345879908,0.167158190228994
"Acadian Mixed",8,"Seed_Dens_NatCan",0.423620988457902,0.324502650477193,0.547814394274219
"Acadian Mixed",8,"Sor_sap",0.395815295815296,0.359637145262145,0.430915504248838
"Acadian Mixed",8,"Hor_sap",0.37922962062948,0.332186907439163,0.431368165124287
"Acadian Mixed",8,"Sor_seed",0.377302971999942,0.343036315536316,0.413065225669392
"Acadian Mixed",8,"Hor_seed",0.476245559377943,0.428371744429674,0.527439957399461
"Northern Oak - Pine",6,"stock_final",45.3050699504164,37.7084697001621,54.0653833492494
"Northern Oak - Pine",6,"Sap_Dens_Total",0.102190376484657,0.090017425919751,0.113366930290787
"Northern Oak - Pine",6,"Seed_Dens_Total",1.23273397785958,1.07461873601727,1.40976262318998
"Northern Oak - Pine",6,"Sap_Dens_NatCan",0.0663555851291946,0.0586088433097285,0.0752763704556186
"Northern Oak - Pine",6,"Seed_Dens_NatCan",0.754345720462585,0.62775489810574,0.903164611508883
"Northern Oak - Pine",6,"Sor_sap",0.275347367352338,0.256221391526176,0.297536808526556
"Northern Oak - Pine",6,"Hor_sap",0.547221728932184,0.511906379854054,0.58233553708757
"Northern Oak - Pine",6,"Sor_seed",0.338377701077626,0.315097745387711,0.361699991281209
"Northern Oak - Pine",6,"Hor_seed",0.643109697123025,0.612247427519266,0.674695018731196
"Appalachian Mesic",7,"stock_final",28.1735736851944,21.8709412851259,35.7237018523996
"Appalachian Mesic",7,"Sap_Dens_Total",0.0737386308574802,0.0627629966800694,0.0843369695145932
"Appalachian Mesic",7,"Seed_Dens_Total",0.940524867075846,0.75101630867144,1.15683420563652
"Appalachian Mesic",7,"Sap_Dens_NatCan",0.041709999487735,0.033386017119522,0.0509213709336794
"Appalachian Mesic",7,"Seed_Dens_NatCan",0.396492491211228,0.301240146119039,0.505952259525428
"Appalachian Mesic",7,"Sor_sap",0.199528781769788,0.17092692039022,0.228876191695122
"Appalachian Mesic",7,"Hor_sap",0.452935786210701,0.399334198160958,0.511831203806815
"Appalachian Mesic",7,"Sor_seed",0.30614552133069,0.27822919883436,0.334155407203853
"Appalachian Mesic",7,"Hor_seed",0.70014348318012,0.652785880162703,0.742253336204546
"Northern Ruderal",5,"stock_final",23.5859442194444,17.1938448423336,32.6037765865612
"Northern Ruderal",5,"Sap_Dens_Total",0.0950229397291608,0.0839412882950396,0.106052912439308
"Northern Ruderal",5,"Seed_Dens_Total",0.843466997301178,0.699160730446413,1.00100970360167
"Northern Ruderal",5,"Sap_Dens_NatCan",0.0464143554417785,0.0384746944055865,0.0542989078790343
"Northern Ruderal",5,"Seed_Dens_NatCan",0.375182589538717,0.281535340979404,0.488600078543704
"Northern Ruderal",5,"Sor_sap",0.271853007759355,0.24864589311474,0.295864634590699
"Northern Ruderal",5,"Hor_sap",0.561719518374991,0.522165973030803,0.601027612838964
"Northern Ruderal",5,"Sor_seed",0.216974436113506,0.197030084176755,0.238211608371185
"Northern Ruderal",5,"Hor_seed",0.70237655043252,0.66408415819747,0.742188798435032
"Southern Oak - Pine",2,"stock_final",40.8490774275775,27.1434030303379,57.9603683451046
"Southern Oak - Pine",2,"Sap_Dens_Total",0.107745914803476,0.0910707097812962,0.126250767435525
"Southern Oak - Pine",2,"Seed_Dens_Total",1.46551724137931,0.915193965517241,2.18829022988506
"Southern Oak - Pine",2,"Sap_Dens_NatCan",0.0674936673863281,0.0532630748651143,0.0817242599075418
"Southern Oak - Pine",2,"Seed_Dens_NatCan",1.13793103448276,0.596120689655173,1.78617097701149
"Southern Oak - Pine",2,"Sor_sap",0.363837272711512,0.318689415652524,0.40598771629261
"Southern Oak - Pine",2,"Hor_sap",0.690378140634459,0.627165931228676,0.750248587664933
"Southern Oak - Pine",2,"Sor_seed",0.225550359602084,0.17822167176693,0.272608360269998
"Southern Oak - Pine",2,"Hor_seed",0.614953604236894,0.532336083872577,0.702157845307867
"Coastal Plain",3,"stock_final",38.3689577473122,24.731490275695,55.787450809066
"Coastal Plain",3,"Sap_Dens_Total",0.109456995263746,0.0947320543692482,0.124978490140383
"Coastal Plain",3,"Seed_Dens_Total",0.657403119644419,0.463377563074459,0.863506607645159
"Coastal Plain",3,"Sap_Dens_NatCan",0.0709859924253859,0.0565972664062069,0.0860795694040263
"Coastal Plain",3,"Seed_Dens_NatCan",0.417519601673415,0.286936113174368,0.573086202341514
"Coastal Plain",3,"Sor_sap",0.33544633178742,0.30042100048288,0.369383090477973
"Coastal Plain",3,"Hor_sap",0.481855588651086,0.430724594943232,0.533149860871886
"Coastal Plain",3,"Sor_seed",0.206615337398919,0.172924391966059,0.240087295581699
"Coastal Plain",3,"Hor_seed",0.578467805422996,0.512442326133087,0.643992693574669
"Floodplain",4,"stock_final",19.8519699753624,5.25807810450499,43.616328976712
"Floodplain",4,"Sap_Dens_Total",0.102493214894683,0.0644745696409334,0.158742197822816
